epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4509,1.32494,13.3179,0.00791,0.50205,0.5727,0.56373,0.42648,1.18695,5.22817,0.0124,0.000301307,0.000301307,0.000301307
2,78.6591,1.35379,9.00297,0.00899,0.65081,0.59119,0.64465,0.44344,1.26626,4.16426,0.01431,0.000598325,0.000598325,0.000598325
3,114.918,1.3648,6.67921,0.00906,0.77336,0.65521,0.76819,0.55118,1.26666,3.44227,0.01482,0.000889343,0.000889343,0.000889343
4,150.734,1.38456,5.29459,0.00974,0.72951,0.66832,0.74999,0.5036,1.28228,3.44974,0.01624,0.000882003,0.000882003,0.000882003
5,186.733,1.39953,4.47573,0.00969,0.80851,0.70355,0.80306,0.55909,1.24459,3.15457,0.0158,0.000873004,0.000873004,0.000873004
6,222.663,1.38069,3.93794,0.00972,0.77669,0.74405,0.8228,0.56559,1.28098,2.85666,0.01619,0.000864004,0.000864004,0.000864004
7,258.415,1.3662,3.59712,0.00957,0.8038,0.75052,0.8305,0.58234,1.22824,2.79759,0.01478,0.000855005,0.000855005,0.000855005
8,294.321,1.33753,3.42388,0.00921,0.84525,0.73175,0.82461,0.59961,1.20343,2.79026,0.01389,0.000846006,0.000846006,0.000846006
9,330.448,1.33585,3.22539,0.00895,0.88081,0.79809,0.88922,0.62889,1.22769,2.40922,0.01543,0.000837007,0.000837007,0.000837007
10,366.182,1.31518,3.13299,0.00933,0.84685,0.81762,0.8873,0.61805,1.20909,2.23914,0.01455,0.000828008,0.000828008,0.000828008
11,402.093,1.32878,3.03207,0.00909,0.8464,0.81811,0.90061,0.64604,1.1791,2.26257,0.01445,0.000819009,0.000819009,0.000819009
12,438.023,1.31989,2.95789,0.00904,0.87321,0.8108,0.89665,0.64111,1.1948,2.32805,0.01451,0.00081001,0.00081001,0.00081001
13,473.733,1.30587,2.87439,0.00883,0.87379,0.79969,0.89468,0.64284,1.20389,2.20226,0.01462,0.000801011,0.000801011,0.000801011
14,509.573,1.30207,2.76834,0.00895,0.89345,0.8296,0.90571,0.66618,1.16707,2.13096,0.01335,0.000792012,0.000792012,0.000792012
15,545.717,1.28325,2.71091,0.00896,0.88586,0.82645,0.91343,0.65717,1.17556,2.11736,0.01388,0.000783013,0.000783013,0.000783013
16,581.67,1.28922,2.69926,0.00857,0.89396,0.85091,0.91206,0.66591,1.18864,2.10055,0.01351,0.000774013,0.000774013,0.000774013
17,617.489,1.28543,2.7062,0.00876,0.83987,0.83009,0.89452,0.64977,1.16101,2.18301,0.0136,0.000765014,0.000765014,0.000765014
18,653.311,1.26076,2.61575,0.00841,0.84539,0.81351,0.89134,0.65197,1.14607,2.28191,0.01291,0.000756015,0.000756015,0.000756015
19,689.005,1.25997,2.56593,0.00846,0.85367,0.83074,0.9023,0.67204,1.13865,2.1155,0.01322,0.000747016,0.000747016,0.000747016
20,725.059,1.25422,2.51482,0.00846,0.85773,0.8273,0.89472,0.64972,1.16297,2.2002,0.01404,0.000738017,0.000738017,0.000738017
21,760.932,1.25578,2.58429,0.00842,0.88838,0.84698,0.90879,0.66676,1.13974,2.03502,0.01378,0.000729018,0.000729018,0.000729018
22,796.753,1.23714,2.45103,0.0083,0.89237,0.85636,0.92333,0.68398,1.13899,1.91315,0.01316,0.000720019,0.000720019,0.000720019
23,839.661,1.23907,2.42344,0.00826,0.89605,0.82277,0.91519,0.68555,1.10521,2.04999,0.01261,0.00071102,0.00071102,0.00071102
24,882.779,1.21933,2.38799,0.00838,0.87001,0.85824,0.91915,0.68546,1.12782,1.93689,0.01233,0.000702021,0.000702021,0.000702021
25,924.796,1.21888,2.35232,0.0079,0.89977,0.85594,0.92575,0.69463,1.08445,1.83346,0.01243,0.000693022,0.000693022,0.000693022
26,960.608,1.23925,2.37115,0.00799,0.89291,0.85518,0.92585,0.70029,1.10044,1.77884,0.01246,0.000684022,0.000684022,0.000684022
27,996.351,1.20758,2.27859,0.0077,0.87471,0.85386,0.91792,0.6889,1.08774,1.87028,0.01253,0.000675023,0.000675023,0.000675023
28,1032.25,1.21015,2.29979,0.008,0.90005,0.87277,0.92671,0.69168,1.10298,1.86241,0.0127,0.000666024,0.000666024,0.000666024
29,1067.94,1.19413,2.2005,0.00771,0.86831,0.84225,0.91088,0.69164,1.08455,1.93642,0.01225,0.000657025,0.000657025,0.000657025
30,1103.75,1.18815,2.19141,0.00783,0.89103,0.84924,0.92068,0.69947,1.085,1.8917,0.0124,0.000648026,0.000648026,0.000648026
