epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,646.813,1.25461,6.33311,0.00837,0.45059,0.49728,0.49787,0.3664,1.18085,4.5695,0.01262,0.000301307,0.000301307,0.000301307
2,1274.34,1.34227,4.20741,0.00991,0.63157,0.63847,0.68061,0.474,1.27811,3.19822,0.01538,0.000544481,0.000544481,0.000544481
3,1895.65,1.33645,2.65073,0.01004,0.67525,0.67444,0.7252,0.51684,1.27228,1.95407,0.0152,0.00072766,0.00072766,0.00072766
4,2524.43,1.35158,1.82145,0.01052,0.80269,0.72127,0.81971,0.5971,1.22651,1.36564,0.01413,0.000639027,0.000639027,0.000639027
5,3150.52,1.31797,1.37586,0.00986,0.84425,0.7497,0.86334,0.62233,1.20197,1.13047,0.01333,0.000549036,0.000549036,0.000549036
6,3773.58,1.23905,1.14303,0.00903,0.82084,0.78213,0.87558,0.66269,1.13351,0.96121,0.01247,0.000459045,0.000459045,0.000459045
7,4400.67,1.201,1.00516,0.00844,0.86733,0.80767,0.89669,0.67804,1.09123,0.8624,0.0121,0.000369054,0.000369054,0.000369054
8,5022.57,1.15874,0.90456,0.00791,0.86555,0.83598,0.90603,0.70287,1.05174,0.79048,0.011,0.000279063,0.000279063,0.000279063
9,5645.24,1.12989,0.82578,0.00751,0.88489,0.81588,0.91283,0.70548,1.0369,0.77896,0.01116,0.000189072,0.000189072,0.000189072
10,6264.01,1.08143,0.80538,0.00715,0.8639,0.8473,0.91126,0.71086,1.00877,0.75759,0.01047,9.9081e-05,9.9081e-05,9.9081e-05
