epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,322.611,0.67637,6.84925,0.0121,0.00748,0.98169,0.38805,0.30361,0.611,6.54725,0.01367,0.000410354,0.000410354,0.000410354
2,853.201,0.79006,5.31888,0.01486,0.69742,0.52655,0.68202,0.52084,0.75066,5.01883,0.01746,0.000745145,0.000745145,0.000745145
3,1278.63,0.86454,4.08212,0.01625,0.69303,0.61242,0.6802,0.51048,0.93328,3.68616,0.02348,0.000997437,0.000997437,0.000997437
4,1694.19,0.89993,3.12464,0.01817,0.80184,0.67974,0.77627,0.58976,0.91074,2.82177,0.0219,0.00087875,0.00087875,0.00087875
5,2093.38,0.89844,2.35433,0.01718,0.73405,0.75615,0.81989,0.64252,0.90447,2.106,0.02185,0.000755,0.000755,0.000755
6,2543.58,0.82165,1.89011,0.01591,0.85678,0.73836,0.83571,0.64355,0.90045,1.59935,0.02171,0.00063125,0.00063125,0.00063125
7,2941.19,0.74202,1.46497,0.01408,0.83015,0.78809,0.86393,0.69122,0.84373,1.32581,0.02057,0.0005075,0.0005075,0.0005075
8,3512.54,0.70151,1.27072,0.01262,0.84616,0.79055,0.88125,0.72407,0.78533,1.19267,0.01859,0.00038375,0.00038375,0.00038375
9,3956.34,0.67284,1.14113,0.01211,0.83596,0.81696,0.89372,0.7328,0.81029,1.09926,0.01959,0.00026,0.00026,0.00026
10,4342.89,0.63683,1.06332,0.01085,0.84878,0.81392,0.89666,0.74234,0.7845,1.06105,0.01889,0.00013625,0.00013625,0.00013625
